tweet_id,retweet_count,favorite_count
872486979161796608,7660,35727
872122724285648897,6778,29911
871879754684805121,9169,32711
871762521631449091,2942,17698
871515927908634625,2920,17729
871166179821445120,4866,0
871102520638267392,4638,18377
871032628920680449,3201,19993
870804317367881728,5248,29529
870726314365509632,3,104
870656317836468226,2183,10780
870374049280663552,22581,73166
870308999962521604,3523,19301
870063196459192321,7029,32116
869772420881756160,8633,37602
869702957897576449,5345,24797
869596645499047938,2616,14051
869227993411051520,3173,17956
868880397819494401,12156,57378
868639477480148993,1733,0
868622495443632128,4425,23406
868552278524837888,1733,8882
867900495410671616,3546,21389
867774946302451713,6206,30005
867421006826221569,2103,14189
867072653475098625,100,0
867051520902168576,6732,28447
866720684873056260,4099,17703
866686824827068416,2937,16947
866450705531457537,29953,107745
866334964761202691,12126,46165
866094527597207552,7117,0
865718153858494464,4792,22709
865359393868664832,4255,23372
865006731092295680,6612,24810
864873206498414592,7446,28544
864279568663928832,2559,12956
864197398364647424,7519,26395
863907417377173506,3563,18262
863553081350529029,3603,13554
863471782782697472,2077,0
863432100342583297,4528,21080
863427515083354112,80,1948
863079547188785154,943,7821
863062471531167744,2077,7449
862831371563274240,4426,17075
862722525377298433,3061,15179
862457590147678208,4213,18094
862096992088072192,19838,65585
861383897657036800,9193,31992
861288531465048066,3561,15206
861005113778896900,3305,14852
860981674716409858,1842,0
860924035999428608,672,0
860563773140209665,1842,6660
860524505164394496,4571,21035
860276583193509888,3044,16411
860184849394610176,5082,14878
860177593139703809,26487,0
859924526012018688,3560,17436
859851578198683649,3045,13850
859607811541651456,1355,16679
859196978902773760,26076,79770
859074603037188101,11877,30147
858860390427611136,7020,0
858843525470990336,3009,13994
858471635011153920,4223,19294
858107933456039936,2523,14097
857989990357356544,2249,14361
857746408056729600,9273,30512
857393404942143489,1434,5258
857263160327368704,3949,18104
857214891891077121,16,202
857062103051644929,145,0
857029823797047296,3463,16894
856543823941562368,2525,14686
856526610513747968,1644,10729
856288084350160898,15,485
856282028240666624,5543,25009
855862651834028034,21,296
855860136149123072,847,4368
855857698524602368,1846,10763
855851453814013952,16019,41448
855818117272018944,4780,24088
855459453768019968,7260,26876
855245323840757760,5224,0
855138241867124737,36,0
854732716440526848,5306,20512
854482394044301312,5977,26333
854365224396361728,4121,17054
854120357044912130,6549,28912
854010172552949760,2776,14694
853760880890318849,5089,25822
853639147608842240,8793,31272
853299958564483072,3146,14026
852936405516943360,1781,0
852912242202992640,1584,8177
852672615818899456,1897,13536
852553447878664193,3091,14759
852311364735569921,8806,30100
852226086759018497,6046,18184
852189679701164033,1410,10483
851591660324737024,3102,14817
851464819735769094,6264,22063
851224888060895234,5129,18865
850753642995093505,8026,27883
850380195714523136,2315,11966
850333567704068097,301,3159
850145622816686080,3366,14881
850019790995546112,4334,18614
849776966551130114,6775,27688
849668094696017920,4417,0
849412302885593088,2810,14551
849336543269576704,1676,10461
849051919805034497,7572,38686
848690551926992896,3901,23059
848324959059550208,4127,22622
848213670039564288,643,7475
848212111729840128,2700,14908
847978865427394560,2901,0
847971574464610304,393,0
847962785489326080,4539,21570
847842811428974592,1183,4984
847617282490613760,376,6414
847606175596138505,3065,17219
847251039262605312,3886,18797
847157206088847362,5218,18193
847116187444137987,2863,19711
846874817362120707,3526,18475
846514051647705089,10307,40787
846505985330044928,2744,12962
846153765933735936,8106,28836
846139713627017216,9116,28565
846042936437604353,2572,14682
845812042753855489,7825,26771
845677943972139009,4358,23213
845397057150107648,1611,7022
845306882940190720,4825,21437
845098359547420673,6896,0
844979544864018432,2301,12584
844973813909606400,2830,13818
844580511645339650,2797,15149
844223788422217728,1979,12614
843981021012017153,2686,13985
843856843873095681,4146,19777
843604394117681152,2469,15562
843235543001513987,5365,19792
842846295480000512,3298,14114
842765311967449089,1173,6244
842535590457499648,3156,16754
842163532590374912,5224,22533
842115215311396866,2739,12931
841833993020538882,13472,0
841680585030541313,7110,23837
841439858740625411,3288,11617
841320156043304961,4992,18272
841314665196081154,4211,14630
841077006473256960,4866,21154
840761248237133825,1613,0
840728873075638272,14506,0
840698636975636481,2,163
840696689258311684,888,11387
840632337062862849,1613,8352
840370681858686976,4158,15191
840268004936019968,5179,17736
839990271299457024,2055,12426
839549326359670784,7019,25361
839290600511926273,131,0
839239871831150596,5891,24995
838952994649550848,3645,18227
838921590096166913,1847,10337
838916489579200512,31,0
838831947270979586,9957,0
838561493054533637,1226,10151
838476387338051585,4318,20796
838201503651401729,9121,0
838150277551247360,299,1558
838085839343206401,0,131
838083903487373313,2824,16322
837820167694528512,7117,31568
837482249356513284,402,3575
837471256429613056,2055,11891
837110210464448512,2169,14936
836989968035819520,2101,11853
836753516572119041,4233,17978
836677758902222849,2010,11728
836648853927522308,505,0
836397794269200385,24890,0
836380477523124226,2732,13775
836260088725786625,3957,19788
836001077879255040,3864,17705
835685285446955009,7371,0
835574547218894849,3277,16496
835536468978302976,1534,0
835309094223372289,19012,0
835297930240217089,2726,15307
835264098648616962,1534,7151
835246439529840640,63,1977
835172783151792128,5270,24344
835152434251116546,2745,20756
834931633769889797,1482,10013
834786237630337024,5081,20020
834574053763584002,2298,12703
834477809192075265,9699,0
834458053273591808,1538,8956
834209720923721728,4298,19103
834167344700198914,3343,14731
834089966724603904,1956,9361
834086379323871233,2030,12145
833863086058651648,2192,12528
833826103416520705,3470,16950
833732339549220864,202,0
833722901757046785,2980,19511
833479644947025920,1880,13888
833124694597443584,4417,18810
832998151111966721,1996,12316
832769181346996225,38,0
832757312314028032,3301,15694
832682457690300417,2646,11053
832645525019123713,481,2708
832636094638288896,2535,14762
832397543355072512,2029,11154
832369877331693569,2901,15924
832273440279240704,2128,10547
832215909146226688,5684,0
832215726631055365,8533,0
832088576586297345,2,59
832040443403784192,8744,0
832032802820481025,4270,16591
831939777352105988,5625,22272
831926988323639298,34,316
831911600680497154,5928,25602
831670449226514432,1678,9698
831650051525054464,1781,6622
831552930092285952,2143,8376
831322785565769729,1433,8688
831315979191906304,1031,6132
831309418084069378,2246,10984
831262627380748289,1875,11052
830956169170665475,1370,7440
830583320585068544,15305,61825
830173239259324417,5201,0
830097400375152640,2677,9069
829878982036299777,4566,0
829861396166877184,1782,11415
829501995190984704,9699,29622
829449946868879360,1846,9790
829141528400556032,6724,22692
829011960981237760,15001,49736
828801551087042563,3130,0
828770345708580865,5355,23849
828708714936930305,10242,33919
828650029636317184,1232,8880
828409743546925057,1071,5981
828408677031882754,1177,7184
828381636999917570,2048,11735
828376505180889089,985,6931
828372645993398273,2710,11761
828361771580813312,165,2051
828046555563323392,2638,10957
828011680017821696,1977,9692
827933404142436356,4788,18685
827653905312006145,2777,14459
827600520311402496,862,7001
827324948884643840,2786,14816
827199976799354881,2044,9917
826958653328592898,4566,20142
826848821049180160,9267,33726
826615380357632002,3653,0
826598799820865537,228,4823
826598365270007810,2166,9366
826476773533745153,3867,17214
826240494070030336,2406,12389
826204788643753985,850,4558
826115272272650244,2841,14611
825876512159186944,1725,9828
825829644528148480,2317,11920
825535076884762624,16252,53413
825147591692263424,4146,17103
825120256414846976,1161,0
825026590719483904,1161,5845
824796380199809024,5058,0
824775126675836928,3250,13943
824663926340194305,1632,9842
824325613288833024,9811,11072
824297048279236611,3539,14093
824025158776213504,557,4522
823939628516474880,2516,9955
823719002937630720,10263,0
823699002998870016,2320,13060
823581115634085888,2429,12143
823333489516937216,22,656
823322678127919110,3689,14690
823269594223824897,9155,0
822975315408461824,3175,16227
822872901745569793,39590,122854
822859134160621569,2100,12341
822647212903690241,5908,0
822610361945911296,2708,13847
822489057087389700,5908,16957
822462944365645825,13032,26071
822244816520155136,9155,32811
822163064745328640,4339,0
821886076407029760,2121,10582
821813639212650496,3104,0
821765923262631936,1552,7827
821522889702862852,1622,7494
821421320206483457,5086,0
821407182352777218,3964,11010
821153421864615936,8,231
821149554670182400,1815,8053
821107785811234820,1955,8986
821044531881721856,2103,11813
820837357901512704,6186,0
820749716845686786,9121,29532
820690176645140481,2983,11486
820494788566847489,520,0
820446719150292993,2375,0
820314633777061888,520,3129
820078625395449857,5734,18458
820013781606658049,1076,0
819952236453363712,1076,4981
819924195358416896,4508,12135
819711362133872643,2840,12506
819588359383371776,1860,9060
819347104292290561,1108,6767
819238181065359361,376,2114
819227688460238848,6186,21588
819015337530290176,34281,0
819015331746349057,17667,0
819006400881917954,17666,42622
819004803107983360,34282,81936
818646164899774465,19267,0
818627210458333184,7003,21058
818614493328580609,2335,9230
818588835076603904,5642,0
818536468981415936,2253,10168
818307523543449600,7389,0
818259473185828864,2069,10318
818145370475810820,2351,11519
817908911860748288,732,4568
817827839487737858,24890,48116
817777686764523521,2506,10138
817536400337801217,2707,11021
817502432452313088,3117,0
817423860136083457,13472,31560
817415592588222464,883,5252
817181837579653120,7801,0
817171292965273600,1846,8236
817120970343411712,2394,11449
817056546584727552,1505,8075
816829038950027264,4355,0
816816676327063552,1880,9391
816697700272001025,2032,9169
816450570814898180,7389,28401
816336735214911488,1785,8110
816091915477250048,1974,8412
816062466425819140,938,0
816014286006976512,4842,0
815990720817401858,938,4650
815966073409433600,7801,20937
815745968457060357,3834,0
815736392542261248,2100,9222
815639385530101762,1542,7738
815390420867969024,3538,9733
814986499976527872,1182,7195
814638523311648768,2508,10600
814578408554463233,5418,0
814530161257443328,1730,8161
814153002265309185,8036,27006
813944609378369540,2935,0
813910438903693312,1720,8776
813812741911748608,12950,34296
813800681631023104,1635,7804
813217897535406080,6792,17521
813202720496779264,1692,8697
813187593374461952,4012,18637
813172488309972993,1795,8733
813157409116065792,2054,7309
813142292504645637,2229,8000
813130366689148928,417,4226
813127251579564032,2904,11123
813112105746448384,2552,9724
813096984823349248,3356,9933
813081950185472002,2578,9350
813066809284972545,1818,7484
813051746834595840,6801,19750
812781120811126785,1777,7099
812709060537683968,1342,6232
812503143955202048,1140,5684
812466873996607488,1788,7502
812372279581671427,3393,12818
811985624773361665,1302,6845
811744202451197953,1461,7092
811647686436880384,677,5270
811627233043480576,2820,11959
811386762094317568,5932,19658
810984652412424192,1320,5001
810896069567610880,1628,8440
810657578271330305,2446,10323
810284430598270976,10419,32992
810254108431155201,3130,13834
809920764300447744,3653,14644
809808892968534016,4538,0
809448704142938112,1357,6561
809220051211603969,5202,18698
809084759137812480,3266,12437
808838249661788160,2845,9569
808733504066486276,2021,7436
808501579447930884,2438,10655
808344865868283904,19267,39837
808134635716833280,5467,0
808106460588765185,2046,8328
808001312164028416,3280,11757
807621403335917568,3357,13722
807106840509214720,51184,110497
807059379405148160,6830,0
807010152071229440,3601,12336
806629075125202948,32103,69895
806620845233815552,5109,0
806576416489959424,1815,4617
806542213899489280,2203,9655
806242860592926720,10771,0
806219024703037440,1124,6076
805958939288408065,4964,0
805932879469572096,1790,7817
805826884734976000,1707,6189
805823200554876929,7400,0
805520635690676224,1543,5426
805487436403003392,2360,8260
805207613751304193,1617,7409
804738756058218496,3572,12854
804475857670639616,1875,5782
804413760345620481,2981,0
804026241225523202,14905,41710
803773340896923648,2566,9453
803692223237865472,6855,0
803638050916102144,3863,10294
803380650405482500,1756,7317
803321560782307329,4921,0
803276597545603072,2278,9450
802952499103731712,1858,8499
802624713319034886,2707,0
802600418706604034,1372,6706
802572683846291456,2339,8445
802323869084381190,5427,15209
802265048156610565,1282,6551
802239329049477120,2436,8558
802185808107208704,249,0
801958328846974976,1583,7312
801854953262350336,217,1707
801538201127157760,1936,7739
801285448605831168,765,5693
801167903437357056,5467,22941
801127390143516673,3679,0
801115127852503040,1974,7611
800859414831898624,89,641
800855607700029440,1506,0
800751577355128832,2606,10009
800513324630806528,2802,12383
800459316964663297,2043,8971
800443802682937345,3996,0
800388270626521089,2613,10521
800188575492947969,3664,0
800141422401830912,2375,14380
800018252395122689,12208,26636
799774291445383169,4331,0
799757965289017345,1992,7887
799422933579902976,1787,7619
799308762079035393,5045,0
799297110730567681,2540,9306
799063482566066176,2327,7613
798933969379225600,4124,12300
798925684722855936,1350,7089
798705661114773508,6159,0
798701998996647937,7172,0
798697898615730177,6039,0
798694562394996736,4602,0
798686750113755136,2165,0
798682547630837760,4398,0
798673117451325440,5184,0
798665375516884993,3658,0
798644042770751489,1730,0
798628517273620480,1853,0
798585098161549313,5227,0
798576900688019456,5435,0
798340744599797760,3118,0
798209839306514432,2411,9840
797971864723324932,2871,10862
797545162159308800,4588,13742
797236660651966464,6099,18768
797165961484890113,24,211
796904159865868288,8284,0
796865951799083009,1821,7246
796759840936919040,2804,11109
796563435802726400,6679,0
796484825502875648,1637,7124
796387464403357696,3855,10349
796177847564038144,13265,0
796149749086875649,13265,30220
796125600683540480,1676,4688
796116448414461957,2230,8557
796080075804475393,2151,7948
796031486298386433,3478,10183
795464331001561088,21771,46322
795400264262053889,2659,9426
795076730285391872,5058,15222
794983741416415232,3130,0
794926597468000259,2145,9594
794355576146903043,9586,0
794332329137291264,2514,9044
794205286408003585,3096,8687
793962221541933056,4538,15785
793845145112371200,1730,8688
793614319594401792,2901,0
793601777308463104,1507,7498
793500921481273345,2209,10024
793286476301799424,8533,23140
793271401113350145,2229,8175
793256262322548741,7727,18763
